Construction Type,Building Area (sq ft),Number of Floors,Number of Rooms,Number of Bathrooms,Flooring Type,Ceiling Height,Roof Type,Foundation Type,Company,Labor Charges,Bid Amount,Project Duration (Months)
Commercial,2625,9,4,4,Wood,14,Flat,Crawl Space,Company C,24037,338318,30
Industrial,4123,9,8,4,Wood,13,Gabled,Basement,Company D,35012,335652,11
Industrial,1245,4,9,2,Tile,9,Flat,Basement,Company C,7236,119307,18
Commercial,1825,9,4,3,Tile,14,Flat,Crawl Space,Company B,25927,204709,22
Commercial,2571,6,13,2,Tile,11,Gabled,Basement,Company A,38033,227803,8
Industrial,2159,5,12,1,Wood,11,Pitched,Slab,Company C,47393,165245,18
Commercial,818,9,7,1,Carpet,12,Flat,Crawl Space,Company C,47052,271495,13
Commercial,1360,7,1,2,Wood,13,Gabled,Basement,Company D,24784,158213,13
Commercial,1271,9,9,2,Tile,14,Pitched,Basement,Company D,18408,194308,24
Residential,827,5,11,4,Carpet,10,Pitched,Slab,Company C,48261,141593,15
Commercial,1359,4,12,4,Carpet,9,Flat,Crawl Space,Company D,16044,183433,29
Residential,3455,3,4,3,Tile,13,Gabled,Crawl Space,Company C,7243,245834,20
Commercial,4036,5,14,4,Tile,9,Pitched,Basement,Company B,6885,448881,27
Industrial,1744,9,14,1,Wood,14,Gabled,Crawl Space,Company C,26129,288670,36
Residential,4748,3,9,1,Wood,11,Pitched,Slab,Company B,33190,320948,12
Residential,4456,1,14,2,Wood,14,Gabled,Crawl Space,Company A,44380,461828,23
Commercial,3863,2,3,3,Tile,11,Gabled,Slab,Company B,41357,256859,6
Commercial,2779,5,11,4,Carpet,8,Gabled,Basement,Company A,26568,233584,32
Residential,3516,3,13,3,Wood,8,Flat,Slab,Company A,41553,268660,18
Industrial,1615,6,5,1,Tile,14,Pitched,Basement,Company A,46857,144534,34
Industrial,3126,8,1,1,Carpet,11,Pitched,Basement,Company D,8575,423146,22
Commercial,3130,6,11,4,Tile,8,Flat,Slab,Company C,22800,260700,35
Industrial,1802,9,3,4,Tile,11,Pitched,Slab,Company B,42456,293103,24
Industrial,2342,6,5,4,Tile,13,Pitched,Slab,Company A,18761,245480,28
Commercial,2029,5,6,2,Wood,11,Flat,Basement,Company B,15575,466706,30
Industrial,4105,4,13,1,Tile,12,Flat,Crawl Space,Company A,27370,224438,36
Commercial,3329,2,8,2,Tile,8,Flat,Basement,Company D,29440,199123,34
Residential,2230,6,1,1,Tile,10,Gabled,Slab,Company A,9827,133026,7
Commercial,4712,2,3,4,Wood,10,Flat,Basement,Company A,43130,295248,27
Residential,2332,5,1,1,Tile,13,Gabled,Slab,Company C,34324,439525,13
Residential,2692,1,5,1,Tile,12,Pitched,Slab,Company B,14402,173875,16
Industrial,3924,3,8,3,Wood,14,Flat,Crawl Space,Company C,18030,447342,30
Industrial,2221,5,4,1,Tile,10,Flat,Basement,Company D,25057,251149,31
Industrial,1190,7,13,1,Carpet,10,Flat,Slab,Company B,7293,402839,17
Commercial,3618,8,11,3,Tile,13,Flat,Basement,Company D,13001,274661,8
Industrial,2669,7,9,4,Tile,13,Pitched,Crawl Space,Company A,10461,114750,26
Residential,3760,7,6,3,Wood,12,Gabled,Slab,Company D,13155,297519,10
Industrial,1995,2,6,4,Wood,9,Pitched,Slab,Company B,10142,250556,17
Industrial,3405,6,11,4,Wood,12,Gabled,Basement,Company B,37398,441671,32
Commercial,1657,5,5,4,Wood,12,Pitched,Basement,Company B,17197,125499,29
Commercial,4027,9,13,1,Carpet,8,Pitched,Basement,Company C,20927,384110,6
Residential,2316,4,10,3,Tile,10,Pitched,Crawl Space,Company A,6757,285428,16
Commercial,1953,7,5,3,Tile,14,Flat,Crawl Space,Company B,32200,342567,8
Industrial,1642,8,11,3,Carpet,10,Flat,Slab,Company D,24816,409312,27
Commercial,2482,6,7,3,Wood,9,Gabled,Basement,Company D,38615,429657,27
Residential,1094,3,8,2,Tile,14,Pitched,Crawl Space,Company D,32864,273313,25
Industrial,1444,5,7,1,Carpet,12,Flat,Basement,Company B,9719,218295,36
Residential,4433,1,1,2,Tile,11,Pitched,Basement,Company B,30581,474192,26
Commercial,2935,8,1,1,Carpet,9,Pitched,Crawl Space,Company D,32385,236644,15
Commercial,910,2,10,3,Carpet,9,Gabled,Basement,Company D,26960,379307,18
Residential,1383,7,6,2,Tile,10,Gabled,Slab,Company A,46871,397220,24
Industrial,4025,9,3,4,Wood,10,Pitched,Slab,Company B,22764,376193,36
Commercial,2286,1,13,3,Wood,10,Pitched,Basement,Company D,19257,479405,18
Commercial,2448,4,12,3,Carpet,10,Pitched,Crawl Space,Company B,8824,309099,25
Industrial,3181,7,9,4,Wood,9,Gabled,Basement,Company A,33585,206238,35
Commercial,905,9,11,3,Tile,13,Gabled,Slab,Company C,6291,454881,19
Residential,4353,2,7,1,Carpet,12,Flat,Basement,Company B,48972,463696,31
Commercial,2494,2,2,3,Tile,13,Gabled,Crawl Space,Company B,31198,337539,15
Commercial,2533,6,12,1,Tile,13,Pitched,Crawl Space,Company A,17266,375906,22
Industrial,1181,3,14,1,Wood,10,Pitched,Crawl Space,Company B,39530,450521,11
Residential,3536,4,3,3,Tile,8,Gabled,Crawl Space,Company D,49159,447491,10
Industrial,2116,3,8,4,Carpet,9,Flat,Slab,Company A,41947,197095,19
Commercial,3502,1,13,1,Carpet,14,Gabled,Basement,Company C,44451,413960,19
Commercial,4874,6,14,2,Tile,14,Gabled,Slab,Company A,12626,422153,10
Industrial,1706,2,1,1,Tile,11,Pitched,Crawl Space,Company D,19736,398805,33
Industrial,1462,2,5,4,Carpet,11,Pitched,Basement,Company B,10079,341308,34
Industrial,1262,7,10,3,Wood,12,Flat,Basement,Company A,32126,134796,25
Residential,3702,5,1,4,Wood,9,Pitched,Crawl Space,Company D,27878,368120,30
Commercial,1742,8,12,4,Wood,9,Flat,Basement,Company D,29238,208784,16
Industrial,957,2,9,3,Tile,9,Gabled,Crawl Space,Company D,13548,215194,34
Commercial,4109,8,7,2,Tile,13,Flat,Basement,Company A,29736,298659,32
Residential,2126,7,5,2,Carpet,8,Gabled,Crawl Space,Company A,36368,245846,30
Residential,3517,8,6,1,Carpet,14,Gabled,Slab,Company A,31498,384297,34
Residential,3468,3,11,1,Carpet,14,Pitched,Basement,Company C,47480,426008,10
Residential,3368,8,3,2,Carpet,8,Gabled,Slab,Company D,35988,137931,28
Commercial,4192,6,3,3,Wood,13,Gabled,Slab,Company A,26915,286064,24
Residential,2906,2,7,4,Tile,10,Flat,Slab,Company A,21947,182880,20
Residential,1447,6,7,3,Tile,13,Pitched,Slab,Company B,8991,102946,22
Industrial,4122,5,7,4,Wood,11,Pitched,Slab,Company B,21393,132829,22
Residential,3738,3,2,4,Carpet,14,Pitched,Basement,Company A,13718,206845,8
Industrial,3283,1,2,2,Carpet,13,Gabled,Basement,Company A,36081,413387,24
Residential,3706,7,11,2,Tile,8,Gabled,Basement,Company C,13868,466986,10
Residential,3825,2,12,3,Carpet,11,Flat,Slab,Company B,26306,105620,29
Industrial,2175,1,5,4,Tile,13,Pitched,Crawl Space,Company C,16319,318184,27
Residential,2623,1,4,3,Wood,9,Pitched,Crawl Space,Company A,5487,456526,13
Commercial,1044,7,7,1,Tile,8,Gabled,Basement,Company C,13477,247469,28
Commercial,3148,1,3,2,Wood,11,Flat,Slab,Company D,30843,433324,6
Residential,1667,9,5,2,Carpet,8,Gabled,Basement,Company C,28615,202271,19
Commercial,3661,6,2,4,Tile,9,Pitched,Slab,Company B,30410,226758,15
Industrial,1279,4,1,2,Carpet,9,Gabled,Crawl Space,Company B,47259,410506,36
Residential,3262,4,9,3,Carpet,9,Flat,Crawl Space,Company B,36989,194785,13
Residential,2735,5,13,4,Carpet,10,Flat,Slab,Company B,6122,254774,6
Industrial,4173,2,4,4,Tile,13,Gabled,Crawl Space,Company A,24965,429919,10
Industrial,3821,5,8,1,Carpet,11,Pitched,Slab,Company B,12023,228666,24
Industrial,3992,2,13,3,Tile,14,Gabled,Basement,Company A,40979,382240,12
Residential,887,4,12,4,Carpet,10,Gabled,Slab,Company D,7156,127585,10
Industrial,2040,5,7,2,Wood,14,Flat,Slab,Company B,41559,329014,7
Industrial,1372,6,14,2,Tile,12,Gabled,Crawl Space,Company D,43111,420094,20
Commercial,1613,6,12,4,Wood,12,Flat,Slab,Company D,48058,397869,6
Commercial,978,9,1,2,Wood,14,Flat,Crawl Space,Company A,14568,347611,35
Residential,2525,4,10,4,Tile,14,Gabled,Slab,Company C,48087,477770,15
Commercial,962,5,11,4,Tile,14,Flat,Crawl Space,Company B,38114,122532,11
Commercial,3440,6,7,4,Tile,8,Gabled,Slab,Company B,35770,397418,11
Industrial,1805,4,2,2,Carpet,8,Pitched,Slab,Company C,34271,177677,19
Industrial,3148,6,3,2,Carpet,8,Pitched,Slab,Company B,26375,494272,13
Commercial,3221,2,14,3,Wood,14,Flat,Slab,Company A,10228,324348,30
Commercial,3555,7,1,1,Tile,10,Pitched,Basement,Company C,21837,184805,34
Commercial,4942,3,7,2,Wood,13,Pitched,Basement,Company B,47269,492191,23
Residential,4541,4,3,4,Carpet,9,Gabled,Crawl Space,Company B,13281,359078,34
Residential,2017,9,6,2,Wood,8,Gabled,Basement,Company A,30895,265641,10
Residential,3274,5,12,2,Wood,8,Pitched,Basement,Company B,40271,383896,26
Commercial,1729,9,13,4,Tile,13,Pitched,Crawl Space,Company A,40770,495219,36
Commercial,1116,6,7,3,Tile,12,Gabled,Basement,Company D,6162,246064,19
Residential,2302,8,3,4,Wood,14,Gabled,Crawl Space,Company B,43402,140675,15
Residential,1220,5,2,3,Carpet,9,Pitched,Basement,Company C,23307,266272,29
Commercial,2249,5,9,2,Wood,10,Flat,Crawl Space,Company A,6788,496650,14
Industrial,1227,3,9,4,Carpet,13,Gabled,Crawl Space,Company A,10892,375856,26
Residential,1196,7,7,2,Wood,9,Gabled,Basement,Company B,18965,335771,26
Commercial,1595,2,14,4,Wood,12,Pitched,Crawl Space,Company A,43284,283974,36
Commercial,906,3,5,2,Tile,10,Pitched,Slab,Company D,46404,144687,8
Industrial,4849,2,4,2,Wood,14,Flat,Basement,Company A,8892,431866,35
Commercial,897,8,4,2,Carpet,11,Gabled,Slab,Company D,44133,210056,11
Commercial,2703,4,1,4,Wood,14,Pitched,Basement,Company C,37743,300136,12
Residential,4370,8,4,3,Wood,14,Pitched,Basement,Company A,15186,387628,24
Residential,4101,8,7,2,Carpet,8,Flat,Crawl Space,Company C,10640,240290,20
Industrial,842,8,14,4,Wood,10,Flat,Crawl Space,Company D,32326,477882,7
Industrial,2377,8,5,4,Wood,12,Gabled,Crawl Space,Company A,11455,128721,19
Commercial,4990,8,9,2,Wood,9,Pitched,Basement,Company D,9428,486916,19
Residential,1184,9,4,2,Wood,10,Pitched,Crawl Space,Company D,39124,370645,17
Industrial,4271,2,11,3,Carpet,12,Gabled,Slab,Company C,25447,215580,34
Industrial,4377,9,3,2,Carpet,13,Flat,Slab,Company C,33031,125143,23
Industrial,4038,8,6,3,Carpet,14,Gabled,Basement,Company C,30086,458547,30
Commercial,2496,1,4,1,Carpet,10,Gabled,Basement,Company D,7560,131840,11
Residential,2934,5,11,4,Wood,8,Gabled,Crawl Space,Company D,42951,142617,35
Industrial,4692,2,13,3,Carpet,13,Flat,Slab,Company C,28771,407159,7
Residential,3336,5,2,2,Wood,9,Flat,Crawl Space,Company D,24015,309001,26
Industrial,3192,8,5,3,Tile,13,Pitched,Crawl Space,Company C,41366,455159,28
Industrial,4615,9,14,2,Wood,9,Pitched,Crawl Space,Company B,48413,249786,6
Residential,1095,9,13,3,Wood,10,Gabled,Crawl Space,Company A,41243,497283,35
Residential,1213,1,4,4,Carpet,13,Pitched,Slab,Company B,41652,291840,32
Residential,2795,7,5,3,Carpet,12,Flat,Crawl Space,Company D,16352,372825,34
Commercial,803,8,12,1,Carpet,8,Pitched,Slab,Company A,8663,144670,29
Industrial,977,3,9,4,Tile,14,Pitched,Slab,Company D,44341,392358,16
Commercial,1545,6,4,3,Wood,8,Flat,Basement,Company D,33250,468014,34
Residential,1451,3,6,1,Tile,10,Pitched,Crawl Space,Company A,25363,112109,20
Industrial,4689,9,4,1,Wood,11,Flat,Basement,Company D,29243,199746,11
Commercial,4071,3,1,3,Wood,13,Pitched,Basement,Company D,35470,424338,22
Industrial,3282,2,2,4,Tile,10,Pitched,Basement,Company D,9311,496327,13
Commercial,1089,9,6,3,Tile,13,Gabled,Slab,Company C,12556,289662,34
Residential,1602,8,8,4,Wood,8,Pitched,Crawl Space,Company D,27062,409106,26
Commercial,3330,8,9,4,Tile,14,Gabled,Basement,Company A,16104,300694,28
Industrial,1033,2,4,3,Carpet,13,Pitched,Slab,Company B,28717,436734,31
Industrial,1207,6,6,1,Wood,14,Gabled,Basement,Company A,36591,482041,25
Industrial,1493,5,3,4,Carpet,9,Pitched,Slab,Company A,41650,362104,23
Industrial,1969,2,12,2,Tile,10,Flat,Slab,Company B,6733,406413,17
Residential,3277,5,9,2,Carpet,14,Pitched,Slab,Company D,44047,127551,13
Commercial,1231,4,8,1,Tile,14,Flat,Slab,Company B,37597,475563,25
Residential,3344,9,12,1,Carpet,10,Flat,Crawl Space,Company B,9785,359259,35
Residential,1782,1,1,3,Tile,9,Gabled,Slab,Company C,30165,280846,29
Residential,3960,6,13,4,Wood,13,Flat,Basement,Company C,25360,220727,14
Industrial,3844,7,2,3,Wood,14,Flat,Crawl Space,Company A,26644,243061,34
Industrial,4724,6,10,2,Wood,10,Gabled,Basement,Company A,32743,320114,16
Industrial,4112,5,14,2,Wood,12,Pitched,Crawl Space,Company C,27552,112248,18
Commercial,2488,4,9,4,Tile,9,Pitched,Basement,Company B,32068,446628,9
Industrial,1267,5,10,4,Carpet,9,Flat,Basement,Company B,41894,198691,13
Commercial,3416,9,3,2,Wood,13,Gabled,Slab,Company B,35454,280700,9
Industrial,2145,5,14,3,Tile,9,Pitched,Basement,Company D,34232,370472,19
Industrial,3222,8,3,4,Tile,8,Gabled,Crawl Space,Company C,38450,134422,29
Residential,1811,7,10,3,Wood,10,Gabled,Basement,Company D,15540,106706,22
Residential,2477,4,9,4,Wood,11,Flat,Slab,Company B,15451,412231,7
Residential,4497,5,14,1,Tile,10,Gabled,Slab,Company D,10126,419540,17
Commercial,4866,7,3,3,Carpet,10,Flat,Crawl Space,Company A,29052,178794,17
Commercial,2692,6,10,2,Tile,8,Gabled,Basement,Company C,6225,398733,31
Industrial,3669,3,12,1,Wood,12,Flat,Slab,Company B,42509,233983,24
Commercial,2286,3,11,3,Wood,14,Pitched,Crawl Space,Company A,6240,391231,23
Industrial,4139,2,5,4,Wood,12,Gabled,Crawl Space,Company D,49849,107940,31
Commercial,2216,3,6,2,Carpet,8,Flat,Slab,Company A,30029,255167,29
Commercial,3646,1,3,4,Carpet,8,Pitched,Crawl Space,Company B,27828,454783,36
Commercial,2157,9,14,3,Carpet,8,Flat,Basement,Company C,15875,148960,15
Residential,4860,2,10,1,Tile,10,Flat,Basement,Company C,30744,298341,33
Commercial,2191,3,8,3,Tile,8,Flat,Basement,Company B,45789,446086,32
Residential,2378,5,2,2,Carpet,11,Flat,Crawl Space,Company C,34014,272184,30
Residential,4549,4,6,1,Carpet,14,Flat,Crawl Space,Company A,22087,411194,14
Commercial,4425,5,2,2,Wood,9,Gabled,Basement,Company B,12622,430093,21
Industrial,3303,6,9,4,Wood,12,Pitched,Basement,Company D,48618,263917,6
Industrial,3937,5,6,1,Tile,13,Pitched,Slab,Company C,30207,416015,35
Industrial,3709,1,9,3,Carpet,11,Pitched,Basement,Company D,12014,147176,34
Commercial,3464,6,14,4,Carpet,13,Gabled,Crawl Space,Company C,43291,313489,21
Industrial,1199,9,4,4,Tile,12,Flat,Slab,Company C,36196,297207,34
Residential,4757,3,12,3,Carpet,14,Gabled,Crawl Space,Company B,46342,158046,30
Industrial,3033,2,3,4,Wood,10,Flat,Crawl Space,Company B,43049,253544,29
Commercial,2339,6,2,2,Carpet,10,Gabled,Basement,Company A,30092,252806,13
Industrial,1036,3,8,3,Tile,8,Pitched,Slab,Company D,40205,127492,24
Residential,1727,4,4,4,Tile,12,Gabled,Crawl Space,Company D,44391,207248,29
Commercial,1219,6,2,1,Carpet,10,Flat,Crawl Space,Company B,40498,166025,7
Industrial,4924,6,11,3,Tile,10,Pitched,Basement,Company B,10920,441815,23
Commercial,3195,2,9,3,Wood,13,Pitched,Crawl Space,Company D,34906,262721,25
Commercial,1460,3,12,4,Wood,13,Flat,Crawl Space,Company D,15088,145634,28
Commercial,3423,9,8,3,Wood,12,Flat,Basement,Company C,38937,459956,33
Industrial,4750,2,5,3,Carpet,10,Gabled,Basement,Company C,7982,150470,25
Commercial,1249,3,8,3,Tile,14,Flat,Basement,Company B,49961,338500,23
Industrial,1179,9,5,3,Wood,8,Flat,Crawl Space,Company D,38950,139977,35
Residential,2050,4,13,3,Tile,10,Flat,Slab,Company C,46040,302403,26
Industrial,3259,1,7,3,Tile,11,Pitched,Crawl Space,Company C,10460,139745,29
Residential,3798,2,5,2,Tile,11,Flat,Slab,Company D,23773,407728,34
Industrial,3101,3,13,4,Wood,8,Pitched,Crawl Space,Company D,11421,156818,19
Commercial,1526,9,5,2,Tile,11,Pitched,Crawl Space,Company B,24542,450312,12
Industrial,2267,9,13,4,Wood,13,Pitched,Slab,Company D,46051,344636,12
Commercial,3528,6,4,3,Wood,10,Flat,Crawl Space,Company B,18567,161592,30
Residential,3952,6,13,4,Wood,11,Flat,Crawl Space,Company C,25013,183348,33
Industrial,4320,3,14,2,Carpet,11,Pitched,Crawl Space,Company A,44645,208562,10
Commercial,4154,5,14,4,Tile,10,Gabled,Crawl Space,Company A,48180,434236,25
Residential,1215,4,5,3,Carpet,12,Gabled,Crawl Space,Company D,21203,126598,31
Residential,1399,9,7,3,Carpet,8,Gabled,Slab,Company B,22388,392683,32
Industrial,3874,9,3,3,Carpet,12,Flat,Crawl Space,Company A,38231,476555,17
Residential,4974,1,4,2,Carpet,12,Pitched,Slab,Company C,27996,187218,36
Commercial,2367,8,8,1,Wood,11,Flat,Crawl Space,Company C,14740,269817,30
Residential,1894,9,6,3,Wood,9,Pitched,Basement,Company B,14710,100806,32
Residential,3743,5,8,3,Tile,12,Gabled,Crawl Space,Company A,45740,476007,32
Commercial,4953,4,11,4,Tile,14,Flat,Basement,Company C,6629,477156,18
Residential,2247,4,2,1,Wood,10,Gabled,Slab,Company C,16225,364315,32
Residential,2292,2,13,4,Tile,10,Pitched,Crawl Space,Company D,30741,183451,22
Residential,3471,9,9,2,Tile,10,Gabled,Basement,Company A,17580,377502,20
Residential,2258,5,7,1,Carpet,9,Pitched,Basement,Company D,26976,344121,21
Commercial,2008,3,13,3,Carpet,9,Flat,Basement,Company C,46306,387386,18
Residential,3012,6,5,1,Carpet,13,Flat,Crawl Space,Company C,26773,223660,27
Commercial,2154,9,11,3,Carpet,8,Gabled,Crawl Space,Company A,38217,243223,16
Residential,1012,9,7,2,Carpet,14,Flat,Basement,Company A,46665,427958,8
Residential,4694,5,2,4,Wood,14,Pitched,Slab,Company B,48905,307473,27
Residential,3763,8,11,2,Carpet,9,Pitched,Basement,Company A,24711,495854,28
Residential,3648,4,4,2,Carpet,8,Gabled,Slab,Company B,35388,297607,6
Commercial,3842,5,7,3,Wood,13,Pitched,Crawl Space,Company D,29152,341382,36
Commercial,3834,7,2,4,Carpet,10,Flat,Crawl Space,Company A,31796,382457,11
Commercial,2532,7,8,2,Tile,14,Gabled,Crawl Space,Company D,27308,428174,13
Industrial,3881,7,14,1,Wood,9,Gabled,Slab,Company D,8251,482662,26
Residential,2070,8,10,2,Tile,14,Flat,Crawl Space,Company B,28534,171317,10
Residential,2329,5,10,3,Tile,11,Flat,Basement,Company C,24285,457320,12
Commercial,1881,1,11,1,Wood,13,Flat,Basement,Company B,34310,235547,29
Industrial,4331,9,5,1,Wood,11,Gabled,Basement,Company B,20731,242478,35
Residential,1951,9,13,4,Carpet,11,Gabled,Crawl Space,Company D,28609,180820,36
Commercial,2522,7,5,1,Wood,9,Pitched,Basement,Company C,26126,170749,28
Residential,1516,6,8,1,Wood,9,Gabled,Slab,Company A,30740,149218,8
Residential,4999,5,13,3,Carpet,9,Gabled,Slab,Company A,27575,125029,27
Commercial,2990,5,13,4,Carpet,11,Pitched,Slab,Company D,33530,416382,14
Commercial,1004,3,12,2,Wood,10,Gabled,Slab,Company B,15907,481956,19
Residential,4629,1,1,1,Carpet,12,Pitched,Basement,Company A,42292,348515,7
Residential,3909,6,6,2,Carpet,10,Pitched,Slab,Company B,25151,375127,30
Commercial,4894,8,2,2,Carpet,9,Pitched,Basement,Company C,8547,115640,8
Residential,2132,2,1,2,Tile,14,Flat,Crawl Space,Company A,27743,101354,24
Residential,2848,8,12,4,Carpet,12,Flat,Basement,Company A,26628,281162,15
Commercial,2649,8,13,2,Tile,14,Gabled,Basement,Company A,25990,361720,7
Residential,2037,8,7,3,Wood,13,Pitched,Basement,Company D,45800,256016,18
Residential,2818,3,12,4,Tile,12,Flat,Basement,Company C,28460,238616,19
Industrial,1317,8,14,4,Tile,10,Pitched,Crawl Space,Company B,10256,418899,24
Commercial,2238,4,14,4,Tile,11,Pitched,Basement,Company B,26361,398522,18
Industrial,4886,3,4,4,Tile,8,Flat,Slab,Company C,33546,211324,12
Industrial,2852,9,1,1,Tile,11,Pitched,Basement,Company B,28667,287443,8
Industrial,3112,8,10,1,Tile,11,Gabled,Crawl Space,Company D,10249,207263,6
Residential,3059,2,11,2,Wood,14,Gabled,Slab,Company B,27969,406408,25
Residential,3949,8,11,1,Wood,12,Gabled,Slab,Company D,29853,226765,34
Industrial,1581,3,6,4,Wood,9,Gabled,Crawl Space,Company D,25989,293924,28
Industrial,3513,6,10,2,Tile,9,Flat,Basement,Company C,25964,201181,18
Industrial,2044,5,13,3,Carpet,12,Flat,Basement,Company D,42143,249695,34
Residential,3216,8,12,1,Tile,11,Gabled,Basement,Company A,45141,247220,11
Industrial,1775,9,13,4,Wood,10,Flat,Crawl Space,Company D,11880,198404,33
Industrial,4291,7,6,2,Tile,13,Gabled,Crawl Space,Company B,5912,264673,17
Commercial,4225,6,12,1,Wood,14,Flat,Slab,Company C,49729,408727,15
Commercial,1216,6,3,4,Carpet,8,Flat,Basement,Company B,19521,208972,8
Residential,1014,1,14,2,Carpet,11,Pitched,Basement,Company A,45340,469595,36
Commercial,4778,5,6,1,Wood,14,Gabled,Crawl Space,Company D,41172,321201,6
Commercial,1935,8,10,3,Wood,11,Pitched,Crawl Space,Company A,46150,287918,29
Commercial,4575,6,9,1,Tile,8,Gabled,Slab,Company D,47354,389453,18
Residential,2382,1,6,4,Tile,10,Flat,Basement,Company A,43699,343197,7
Commercial,1532,5,1,4,Tile,8,Gabled,Slab,Company A,8495,113578,26
Residential,3546,5,10,3,Carpet,12,Pitched,Slab,Company A,40914,279122,24
Industrial,3063,3,6,3,Carpet,8,Pitched,Crawl Space,Company A,9324,334204,25
Commercial,4604,8,8,2,Carpet,8,Flat,Basement,Company A,46307,135356,35
Residential,3227,9,7,2,Tile,11,Pitched,Slab,Company A,33277,295079,8
Commercial,1031,6,14,4,Wood,14,Flat,Basement,Company D,45130,108128,24
Industrial,1202,6,8,1,Wood,11,Flat,Crawl Space,Company B,25942,122378,20
Residential,864,2,11,3,Tile,9,Flat,Slab,Company C,22559,220628,36
Residential,3037,2,12,2,Tile,8,Flat,Basement,Company C,12144,485797,24
Residential,1749,6,8,4,Wood,12,Flat,Basement,Company B,21818,435660,15
Industrial,972,8,9,4,Wood,9,Pitched,Basement,Company D,12778,248030,32
Industrial,3475,2,3,4,Carpet,13,Pitched,Crawl Space,Company D,19589,477984,16
Industrial,2050,9,7,3,Tile,8,Pitched,Slab,Company C,5987,151720,20
Residential,3848,9,6,3,Carpet,11,Pitched,Slab,Company C,44273,416209,13
Industrial,4805,4,2,3,Carpet,12,Flat,Basement,Company A,27403,195923,16
Commercial,1437,4,5,1,Wood,10,Gabled,Slab,Company B,15105,391126,22
Industrial,1748,4,3,3,Tile,9,Gabled,Crawl Space,Company A,32901,154762,7
Residential,3060,5,11,4,Wood,11,Gabled,Basement,Company A,43558,376482,23
Commercial,2494,8,5,3,Carpet,10,Gabled,Basement,Company A,40776,331337,14
Industrial,942,2,14,1,Tile,8,Pitched,Crawl Space,Company B,21669,289953,12
Commercial,2260,5,11,1,Carpet,12,Flat,Basement,Company B,41807,295003,15
Commercial,4687,2,9,4,Carpet,11,Pitched,Slab,Company B,6575,479485,28
Residential,1092,8,14,2,Wood,11,Pitched,Slab,Company A,46588,388504,13
Commercial,2443,1,8,3,Tile,12,Pitched,Crawl Space,Company D,34227,334129,18
Commercial,3518,7,9,3,Tile,11,Flat,Crawl Space,Company B,18019,428508,7
Residential,1637,3,9,1,Tile,11,Pitched,Slab,Company A,7691,213722,15
Residential,1837,4,11,1,Tile,8,Flat,Basement,Company D,34911,184485,32
Residential,1071,8,8,2,Carpet,9,Gabled,Crawl Space,Company C,6434,189068,22
Commercial,2758,3,14,1,Wood,10,Pitched,Slab,Company A,33969,420114,21
Commercial,3169,7,8,1,Tile,13,Flat,Slab,Company C,24594,256661,17
Commercial,1605,1,11,1,Carpet,12,Pitched,Crawl Space,Company C,16125,301484,11
Residential,3974,9,11,1,Wood,10,Gabled,Basement,Company B,26626,479406,20
Industrial,1682,6,6,2,Wood,12,Flat,Slab,Company A,24761,172277,36
Commercial,1631,3,6,3,Wood,13,Gabled,Basement,Company B,18970,366322,20
Industrial,3971,7,14,3,Tile,12,Gabled,Slab,Company D,47310,491409,21
Residential,2991,5,6,3,Carpet,11,Flat,Crawl Space,Company B,10152,113227,8
Commercial,2840,8,10,3,Wood,13,Pitched,Slab,Company C,46549,374311,18
Industrial,2394,8,6,3,Wood,13,Flat,Basement,Company C,40708,335725,23
Commercial,2426,9,13,4,Wood,8,Gabled,Slab,Company A,16084,471286,8
Commercial,4384,6,14,4,Carpet,12,Flat,Slab,Company D,16898,408248,9
Commercial,1073,4,11,1,Carpet,13,Pitched,Crawl Space,Company C,28122,288576,10
Industrial,1389,2,13,4,Tile,10,Flat,Basement,Company A,20926,245600,31
Residential,3500,3,12,3,Tile,9,Gabled,Basement,Company A,24976,253408,31
Commercial,1382,5,9,1,Carpet,10,Pitched,Basement,Company B,15429,480816,36
Residential,4433,8,10,3,Tile,13,Pitched,Crawl Space,Company C,46954,312084,25
Residential,2790,2,13,3,Carpet,8,Flat,Basement,Company B,28869,220273,29
Industrial,2058,5,1,1,Tile,9,Flat,Slab,Company C,46842,356563,11
Industrial,3666,9,10,3,Tile,14,Flat,Basement,Company C,30155,433362,12
Residential,4538,2,6,4,Carpet,11,Gabled,Slab,Company D,47394,295901,25
Commercial,1371,8,8,1,Wood,14,Pitched,Slab,Company B,20670,442874,33
Industrial,1344,3,1,2,Wood,14,Pitched,Slab,Company A,23758,183515,18
Commercial,1437,8,11,2,Tile,10,Pitched,Crawl Space,Company B,20795,416343,19
Commercial,840,4,11,2,Wood,10,Pitched,Crawl Space,Company D,47296,252349,12
Commercial,2420,4,6,3,Wood,13,Pitched,Crawl Space,Company C,42217,193384,26
Residential,4472,7,9,3,Tile,12,Gabled,Crawl Space,Company B,30590,467704,16
Commercial,4937,5,6,3,Wood,12,Pitched,Slab,Company B,38463,366785,17
Residential,4928,4,14,3,Carpet,9,Flat,Slab,Company D,34193,393479,23
Residential,2099,7,2,1,Carpet,11,Gabled,Basement,Company C,45305,143815,30
Commercial,959,3,1,2,Wood,12,Gabled,Crawl Space,Company C,16207,377870,23
Commercial,2752,9,4,4,Carpet,13,Pitched,Basement,Company A,10164,367786,33
Commercial,2531,5,6,1,Carpet,10,Flat,Crawl Space,Company C,37045,103278,7
